frame_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,quat_x,quat_y,quat_z,quat_w,lookat_x,lookat_y,lookat_z,up_x,up_y,up_z
36,0.0229342,1.68543,2.3556,14.4369,188.897,352.586,0.0736774,-0.986386,0.120037,0.0848898,-0.14978,-0.249315,-0.95677,-0.165728,0.960325,-0.224297
37,0.0245079,1.6855,2.35766,14.3239,189.088,352.72,0.0726505,-0.986457,0.119041,0.0863358,-0.153036,-0.247403,-0.956751,-0.163888,0.961102,-0.222314
38,0.0271649,1.68526,2.36072,14.3891,189.357,352.939,0.0710868,-0.986315,0.119602,0.0884561,-0.157487,-0.248506,-0.955742,-0.161387,0.961284,-0.223354
39,0.0304802,1.68457,2.36365,14.547,189.596,353.174,0.0694186,-0.986093,0.120999,0.0903355,-0.161359,-0.251174,-0.954398,-0.158767,0.961081,-0.226091
40,0.0319313,1.68411,2.36437,14.8537,189.562,353.264,0.0688101,-0.985821,0.123733,0.09007,-0.160557,-0.256353,-0.953155,-0.157958,0.959911,-0.231562
41,0.0362097,1.68264,2.36674,15.5159,189.582,353.526,0.0670102,-0.985173,0.129629,0.0902183,-0.160388,-0.267505,-0.950114,-0.155423,0.957412,-0.243323
42,0.0408534,1.68058,2.36865,16.3591,189.584,353.855,0.0647352,-0.984312,0.137142,0.0901679,-0.159751,-0.281656,-0.946123,-0.152171,0.954003,-0.258308
43,0.0445019,1.67889,2.36953,17.2082,189.575,354.073,0.0634114,-0.983333,0.144619,0.0901166,-0.158888,-0.295845,-0.941929,-0.150774,0.950129,-0.272988
44,0.0503147,1.67632,2.37044,18.5066,189.521,354.427,0.0611437,-0.981771,0.156073,0.0896033,-0.156854,-0.317414,-0.935225,-0.148027,0.943805,-0.295499
45,0.0544535,1.67456,2.37042,19.3101,189.458,354.574,0.0603161,-0.980724,0.16311,0.0890915,-0.155072,-0.33068,-0.930915,-0.14737,0.939514,-0.309186
46,0.0587044,1.67268,2.3698,20.1547,189.43,354.814,0.0587634,-0.979585,0.170545,0.0887411,-0.153815,-0.344555,-0.926079,-0.145396,0.934923,-0.323696
47,0.0629367,1.67073,2.36829,20.9773,189.246,355.087,0.0566693,-0.978562,0.177884,0.0869566,-0.150024,-0.357997,-0.921591,-0.141845,0.930291,-0.338286
48,0.0696107,1.66814,2.36626,21.9248,188.26,355.185,0.0548201,-0.977763,0.186533,0.078608,-0.133268,-0.373389,-0.918052,-0.136528,0.9244,-0.356152
49,0.0765356,1.66699,2.36789,23.4128,186.706,354.638,0.0575793,-0.975899,0.199648,0.0666866,-0.107167,-0.397352,-0.911387,-0.139011,0.913651,-0.381993
50,0.0786542,1.66993,2.36852,22.8487,186.462,353.925,0.0630053,-0.976663,0.194554,0.0656423,-0.103705,-0.388299,-0.91568,-0.148612,0.916358,-0.371755
51,0.0816219,1.67369,2.36997,21.2543,186.482,353.677,0.0645278,-0.979208,0.180777,0.0656391,-0.105218,-0.362508,-0.926022,-0.150104,0.926311,-0.345566
52,0.0828622,1.67498,2.37136,20.2217,186.943,353.466,0.0666166,-0.98046,0.171549,0.0695059,-0.11344,-0.345654,-0.93148,-0.154477,0.932266,-0.327133
53,0.0842868,1.67566,2.37297,19.5043,187.499,353.092,0.0703086,-0.980986,0.164834,0.0745164,-0.123021,-0.333878,-0.934554,-0.162509,0.935773,-0.312921
54,0.0850447,1.67468,2.3734,19.5683,187.794,352.712,0.0740117,-0.980455,0.164944,0.077616,-0.127782,-0.334929,-0.933538,-0.170735,0.934631,-0.311951
55,0.085574,1.67274,2.37308,20.2223,187.904,352.187,0.07898,-0.979022,0.170111,0.0796264,-0.129041,-0.345663,-0.929444,-0.181737,0.929649,-0.320507
56,0.0861196,1.66868,2.37202,21.2878,188.149,351.47,0.0859882,-0.97662,0.178535,0.0833354,-0.13207,-0.363053,-0.922361,-0.197712,0.921463,-0.33439
57,0.0862463,1.66519,2.37017,22.5125,188.322,350.926,0.0914965,-0.973993,0.188443,0.0863426,-0.13371,-0.382885,-0.914068,-0.210775,0.912235,-0.351285
58,0.0857111,1.6616,2.36683,23.4092,188.794,350.725,0.0944415,-0.97187,0.195536,0.0911818,-0.1403,-0.397294,-0.906903,-0.219228,0.905693,-0.362849
59,0.0852982,1.65553,2.36122,24.7766,189.529,350.779,0.0960013,-0.968759,0.206582,0.0980497,-0.150309,-0.419082,-0.895421,-0.226515,0.896215,-0.38143
60,0.0856466,1.65178,2.35784,26.0945,190.084,351.115,0.0949514,-0.965962,0.217573,0.102778,-0.157242,-0.439853,-0.884197,-0.228162,0.887292,-0.400817
61,0.0858465,1.64901,2.35362,27.2033,190.694,351.701,0.0918833,-0.963602,0.226979,0.107282,-0.165042,-0.457149,-0.873943,-0.225779,0.880076,-0.41772
62,0.0865035,1.64562,2.3471,28.3844,191.48,352.802,0.0850257,-0.961176,0.237378,0.112086,-0.175102,-0.475384,-0.862177,-0.216663,0.872845,-0.437264
63,0.0869821,1.64525,2.34164,28.8013,191.743,353.568,0.0794525,-0.960554,0.241448,0.11281,-0.178354,-0.481773,-0.857954,-0.207113,0.870781,-0.445921
64,0.0872638,1.64525,2.33238,29.0099,192.275,354.841,0.0700735,-0.960396,0.244117,0.114612,-0.185934,-0.48496,-0.854542,-0.190554,0.870993,-0.452835
65,0.0871025,1.64518,2.32904,29.031,192.213,355.509,0.0643616,-0.960803,0.244993,0.112668,-0.184968,-0.485283,-0.854568,-0.178884,0.871672,-0.456277
66,0.0867504,1.64602,2.31469,29.6474,192.475,357.363,0.0498998,-0.960101,0.251847,0.110856,-0.187731,-0.494661,-0.848568,-0.151655,0.868166,-0.472534
67,0.0861738,1.64584,2.31025,29.6354,192.21,357.793,0.0457058,-0.960559,0.252267,0.107693,-0.183831,-0.494479,-0.849527,-0.142141,0.868545,-0.474791
68,0.0841449,1.64577,2.29286,30.0021,191.702,359.44,0.0310768,-0.960749,0.257005,0.0997194,-0.175637,-0.500032,-0.848009,-0.110971,0.865966,-0.487636
69,0.0823472,1.64525,2.28349,29.9838,191.16,359.962,0.0254678,-0.961377,0.257426,0.0940088,-0.167644,-0.499755,-0.849788,-0.0973689,0.866166,-0.490179
70,0.0797438,1.64432,2.27389,29.9341,190.52,0.364864,0.0206122,-0.962077,0.257457,0.0877418,-0.158215,-0.499004,-0.852035,-0.0848405,0.866582,-0.49177
71,0.0764478,1.6431,2.26412,29.8929,189.788,0.472825,0.0180322,-0.962727,0.257314,0.0813685,-0.147391,-0.498381,-0.854337,-0.0765946,0.866929,-0.492512
72,0.0703956,1.64103,2.24933,30.0238,188.779,0.370431,0.0167103,-0.963098,0.258498,0.0730856,-0.132138,-0.50036,-0.855675,-0.0699722,0.865799,-0.495475
73,0.0628201,1.63877,2.23413,30.1404,187.813,0.0236227,0.0175145,-0.963368,0.259412,0.0657301,-0.117558,-0.502121,-0.85677,-0.0678481,0.864797,-0.497516
74,0.0563581,1.63745,2.22352,30.2598,187.161,359.606,0.0196128,-0.963391,0.26029,0.061181,-0.107672,-0.503921,-0.857012,-0.0696391,0.863729,-0.499122
75,0.0454356,1.63552,2.20708,30.1195,186.203,359.076,0.0218369,-0.964096,0.259016,0.0543402,-0.0934662,-0.501805,-0.859916,-0.0702557,0.864868,-0.497059
76,0.0368023,1.63478,2.19576,30.0088,185.61,358.539,0.0249691,-0.964509,0.257959,0.0505613,-0.0846516,-0.500132,-0.861802,-0.0742513,0.865668,-0.495082
77,0.0268999,1.63439,2.18428,29.6393,185.09,358.061,0.0276942,-0.965452,0.254762,0.0472465,-0.0771176,-0.494538,-0.865728,-0.0775481,0.868659,-0.489304
78,0.0108941,1.6349,2.16702,29.4925,184.236,357.216,0.0328834,-0.965888,0.253421,0.0419054,-0.0642852,-0.492309,-0.868043,-0.0847628,0.869393,-0.486798
79,-0.0011753,1.63543,2.15532,29.0088,183.674,356.43,0.0381666,-0.966911,0.249237,0.038817,-0.0560401,-0.484943,-0.872748,-0.0931567,0.872848,-0.479017
80,-0.0142958,1.63639,2.14362,28.3875,183.275,355.475,0.0452557,-0.968044,0.243817,0.037355,-0.0502544,-0.475432,-0.878316,-0.105834,0.877011,-0.46867
81,-0.0348178,1.63819,2.1268,28.0035,182.874,354.167,0.0554109,-0.968418,0.240324,0.0366091,-0.0442726,-0.469526,-0.881808,-0.124918,0.878348,-0.461412
82,-0.056451,1.64033,2.11011,27.7146,182.605,352.965,0.064983,-0.968482,0.237638,0.0367172,-0.0402352,-0.465067,-0.884361,-0.143321,0.878611,-0.455523
83,-0.0635595,1.64134,2.10461,27.5704,182.911,352.737,0.0675318,-0.96855,0.236165,0.0397023,-0.0450099,-0.462838,-0.885299,-0.149568,0.879331,-0.452114
84,-0.0845208,1.64451,2.08903,27.4778,183.099,351.846,0.0754394,-0.968119,0.234943,0.0430783,-0.047962,-0.461405,-0.885892,-0.166311,0.878221,-0.448406
85,-0.104581,1.64802,2.0739,27.4646,183.479,351.299,0.0808353,-0.967624,0.234356,0.0473982,-0.0538388,-0.461201,-0.885661,-0.178652,0.877086,-0.445875
86,-0.117217,1.651,2.0632,27.3755,183.83,351.564,0.0793057,-0.967845,0.23347,0.0497745,-0.059317,-0.45982,-0.886029,-0.176753,0.878405,-0.444031
87,-0.135439,1.6546,2.04652,26.7101,184.482,351.701,0.0793568,-0.969011,0.22745,0.05465,-0.0698135,-0.449477,-0.89056,-0.178656,0.883938,-0.43213
88,-0.146333,1.65592,2.0348,26.1689,184.966,351.824,0.079151,-0.969948,0.222591,0.0582109,-0.0776866,-0.441018,-0.89413,-0.179459,0.888377,-0.422588
