1712154653, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0
182, -0.2339601, -0.1732051, 0.3000000, -0.2339601, 0.1732051, 0.3000000, 0.2339601, 0.1732051, 0.3000000, 0.2339601, -0.1732051, 0.3000000, -779.8670000, -577.3502000, 999.9999000, -779.8670000, 577.3502000, 999.9999000, 779.8670000, 577.3502000, 999.9999000, 779.8670000, -577.3502000, 999.9999000
216, -0.2339601, -0.1732051, 0.3000000, -0.2339601, 0.1732051, 0.3000000, 0.2339601, 0.1732051, 0.3000000, 0.2339601, -0.1732051, 0.3000000, -779.8670000, -577.3502000, 999.9999000, -779.8670000, 577.3502000, 999.9999000, 779.8670000, 577.3502000, 999.9999000, 779.8670000, -577.3502000, 999.9999000
3468, 0.0639541, -0.0979784, 0.4013072, 0.1065122, 0.2376727, 0.3269621, 0.3987768, 0.1237136, -0.0202326, 0.3562186, -0.2119374, 0.0541126, 213.1802000, -326.5944000, 1337.6910000, 355.0407000, 792.2422000, 1089.8730000, 1329.2560000, 412.3787000, -67.4419300, 1187.3950000, -706.4579000, 180.3752000
3592, 0.0527305, -0.1409661, 0.3899813, 0.1110593, 0.1982493, 0.3508567, 0.4040498, 0.1071229, -0.0024165, 0.3457209, -0.2320925, 0.0367082, 175.7682000, -469.8868000, 1299.9380000, 370.1977000, 660.8307000, 1169.5220000, 1346.8320000, 357.0761000, -8.0548710, 1152.4030000, -773.6414000, 122.3605000
3622, 0.0521302, -0.1584726, 0.3832835, 0.1187394, 0.1805199, 0.3578419, 0.4066056, 0.0969901, -0.0014701, 0.3399963, -0.2420025, 0.0239714, 173.7672000, -528.2419000, 1277.6110000, 395.7979000, 601.7330000, 1192.8060000, 1355.3520000, 323.3002000, -4.9004820, 1133.3210000, -806.6748000, 79.9046900
3661, 0.0540973, -0.1664252, 0.3796228, 0.1254874, 0.1719658, 0.3597472, 0.4079709, 0.0909828, -0.0043877, 0.3365808, -0.2474082, 0.0154880, 180.3245000, -554.7505000, 1265.4090000, 418.2913000, 573.2191000, 1199.1570000, 1359.9030000, 303.2758000, -14.6255500, 1121.9360000, -824.6939000, 51.6264600
3689, 0.0557259, -0.1751147, 0.3754555, 0.1329746, 0.1622861, 0.3615499, 0.4094650, 0.0837653, -0.0076883, 0.3322164, -0.2536355, 0.0062172, 185.7531000, -583.7156000, 1251.5180000, 443.2485000, 540.9536000, 1205.1660000, 1364.8830000, 279.2177000, -25.6276600, 1107.3880000, -845.4515000, 20.7241500
3732, 0.0556279, -0.1822257, 0.3720708, 0.1381019, 0.1541066, 0.3632029, 0.4106733, 0.0774455, -0.0093253, 0.3281993, -0.2588868, -0.0004574, 185.4263000, -607.4189000, 1240.2360000, 460.3396000, 513.6885000, 1210.6760000, 1368.9110000, 258.1517000, -31.0842600, 1093.9980000, -862.9558000, -1.5247500
3758, 0.0565063, -0.1913606, 0.3673221, 0.1444996, 0.1436793, 0.3649842, 0.4117903, 0.0708481, -0.0121108, 0.3237970, -0.2641918, -0.0097729, 188.3544000, -637.8686000, 1224.4070000, 481.6652000, 478.9309000, 1216.6140000, 1372.6340000, 236.1602000, -40.3693500, 1079.3230000, -880.6393000, -32.5765100
