timestamp,timestamp_ms,gpu_index,gpu_name,gpu_util_percent,mem_util_percent,mem_used_mib,mem_total_mib,temperature,encoder_util(%),decoder_util(%),enc_sampling_us,dec_sampling_us
2025-01-30 00:44:41,1738226681090,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:41,1738226681197,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:41,1738226681299,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:41,1738226681400,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:41,1738226681501,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:41,1738226681602,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:41,1738226681704,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:41,1738226681805,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:41,1738226681906,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:42,1738226682008,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:42,1738226682109,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:42,1738226682210,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:42,1738226682312,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:42,1738226682413,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:42,1738226682514,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:42,1738226682615,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:42,1738226682716,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:42,1738226682817,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:42,1738226682919,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:43,1738226683020,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:43,1738226683121,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:43,1738226683222,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:43,1738226683324,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:43,1738226683425,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:43,1738226683526,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:43,1738226683628,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:43,1738226683729,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:43,1738226683830,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:43,1738226683931,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:44,1738226684032,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:44,1738226684133,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:44,1738226684235,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:44,1738226684336,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:44,1738226684437,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:44,1738226684538,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:44,1738226684639,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:44,1738226684740,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:44,1738226684842,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:44,1738226684943,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:45,1738226685044,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:45,1738226685145,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:45,1738226685247,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:45,1738226685348,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
2025-01-30 00:44:45,1738226685449,0,NVIDIA GeForce RTX 3080,0,2,214,10009,38,0,0,200000,200000
