frame_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,quat_x,quat_y,quat_z,quat_w,lookat_x,lookat_y,lookat_z,up_x,up_y,up_z
54,-0.38899,1.48471,0.909808,27.0292,142.898,0.237334,0.0762585,0.921634,-0.22091,0.309798,0.537348,-0.454445,-0.710448,0.27744,0.890767,-0.359946
55,-0.391701,1.48357,0.909566,27.9904,143.431,0.4632,0.0795979,0.92101,-0.228398,0.30535,0.526101,-0.469324,-0.709192,0.286103,0.882997,-0.372103
56,-0.396265,1.4823,0.909316,28.8673,144.116,0.770324,0.0829762,0.920805,-0.235127,0.299915,0.513306,-0.482783,-0.709533,0.293846,0.875661,-0.38324
57,-0.399659,1.48225,0.909297,29.1277,144.343,0.852917,0.0838447,0.92079,-0.237171,0.298105,0.509213,-0.486757,-0.709767,0.29581,0.87344,-0.386779
58,-0.403585,1.48225,0.909366,29.0236,144.531,0.966416,0.0841012,0.921415,-0.236176,0.296889,0.50739,-0.485169,-0.712156,0.29522,0.874296,-0.385295
59,-0.410172,1.48207,0.909496,28.8154,144.954,1.20524,0.0846278,0.922765,-0.234194,0.294103,0.503137,-0.48199,-0.717314,0.293937,0.875983,-0.382433
60,-0.422698,1.48155,0.909369,28.6142,145.605,1.57675,0.0857949,0.924569,-0.232106,0.28972,0.495905,-0.478909,-0.724379,0.293138,0.877532,-0.379483
61,-0.428071,1.48071,0.908772,28.4831,145.656,1.70434,0.0863979,0.924877,-0.230761,0.289634,0.495878,-0.476899,-0.725722,0.293488,0.878569,-0.376804
62,-0.436252,1.47972,0.908093,28.5226,145.781,1.89768,0.0878032,0.924963,-0.230688,0.288992,0.494103,-0.477505,-0.726534,0.295763,0.878147,-0.376008
63,-0.436212,1.47998,0.908061,28.4006,145.626,1.72274,0.0864021,0.92496,-0.230025,0.289952,0.496638,-0.475633,-0.726033,0.293229,0.879246,-0.375424
64,-0.444631,1.47848,0.907677,28.3148,145.662,1.73734,0.0862362,0.925219,-0.229321,0.289734,0.496583,-0.474315,-0.726932,0.292459,0.87995,-0.374373
65,-0.453454,1.47723,0.907827,28.36,145.911,1.84313,0.0867043,0.925671,-0.229608,0.287918,0.493218,-0.47501,-0.728767,0.292736,0.879525,-0.375155
66,-0.459199,1.47732,0.907852,28.3644,146.258,2.03571,0.0875743,0.926386,-0.229427,0.285489,0.488762,-0.475078,-0.731719,0.293253,0.879388,-0.375072
67,-0.467692,1.47738,0.90848,28.3537,146.675,2.24958,0.0884448,0.927276,-0.229129,0.282553,0.483478,-0.474913,-0.735328,0.293508,0.879355,-0.374952
68,-0.46981,1.47767,0.908766,28.2252,146.787,2.17326,0.0872969,0.92788,-0.228361,0.28155,0.482618,-0.472939,-0.737163,0.290592,0.880462,-0.374625
69,-0.478459,1.47899,0.909774,27.7963,147.312,2.06308,0.0843515,0.930128,-0.225535,0.277273,0.477751,-0.46633,-0.744507,0.281985,0.884037,-0.372776
70,-0.481917,1.47991,0.91015,27.431,147.576,2.00588,0.082515,0.931553,-0.22289,0.275174,0.475895,-0.46068,-0.749198,0.276401,0.887022,-0.369856
71,-0.483283,1.48012,0.910638,27.2947,147.447,2.2283,0.0842555,0.931355,-0.22115,0.276716,0.478175,-0.458567,-0.749042,0.279335,0.887988,-0.365308
72,-0.488069,1.4812,0.911953,26.7948,147.373,2.49238,0.0853725,0.931986,-0.21638,0.278017,0.48127,-0.450796,-0.751772,0.279447,0.891782,-0.355856
73,-0.488617,1.48091,0.912301,26.7103,147.004,2.50372,0.0859611,0.931245,-0.215387,0.281073,0.486466,-0.449479,-0.749213,0.281181,0.892438,-0.352833
74,-0.490163,1.48107,0.913465,26.5528,146.587,2.2881,0.0846162,0.930687,-0.214325,0.284122,0.492587,-0.447023,-0.746678,0.279292,0.893809,-0.350857
75,-0.490507,1.4812,0.9145,26.4283,146.275,1.94727,0.0821309,0.930403,-0.213932,0.286074,0.497187,-0.445078,-0.744789,0.275231,0.894975,-0.351096
76,-0.49013,1.48109,0.915347,26.4625,146.287,1.80063,0.081,0.930471,-0.214585,0.285683,0.496877,-0.445612,-0.744677,0.273343,0.894784,-0.353051
77,-0.488929,1.48133,0.916888,26.5088,146.304,1.62956,0.0796915,0.930544,-0.215401,0.285202,0.496455,-0.446336,-0.744525,0.271178,0.894504,-0.355423
78,-0.48784,1.48146,0.917624,26.4343,146.598,1.80564,0.0803915,0.931293,-0.214562,0.283185,0.492958,-0.445172,-0.747539,0.271257,0.895001,-0.354109
79,-0.484428,1.48196,0.919782,26.2507,146.955,1.89635,0.0800222,0.932465,-0.213092,0.280529,0.489063,-0.442299,-0.75179,0.268793,0.896376,-0.352505
80,-0.480935,1.48234,0.921999,25.9344,147.101,1.94008,0.0793547,0.933403,-0.210506,0.279551,0.488459,-0.437342,-0.755077,0.265834,0.89878,-0.348607
81,-0.474878,1.48304,0.92603,25.6686,147.255,2.00325,0.0789575,0.934242,-0.208288,0.278519,0.487517,-0.433165,-0.758087,0.263555,0.900764,-0.345201
82,-0.469907,1.4835,0.929684,25.5473,147.255,1.96826,0.0783849,0.934497,-0.207382,0.278504,0.488011,-0.431256,-0.758857,0.262014,0.901698,-0.343934
83,-0.461311,1.48422,0.935762,25.3527,147.291,1.86908,0.0770515,0.935017,-0.206055,0.278115,0.488331,-0.428189,-0.760387,0.258703,0.903209,-0.342472
84,-0.454356,1.48463,0.940513,25.0142,147.299,1.6872,0.0747505,0.935787,-0.203734,0.277862,0.489582,-0.422843,-0.76257,0.253121,0.90581,-0.339762
85,-0.443204,1.48544,0.948458,24.6111,147.282,1.42255,0.0716603,0.936654,-0.201065,0.2777,0.491401,-0.416457,-0.764911,0.245913,0.908875,-0.336856
86,-0.43887,1.48559,0.951946,24.4655,147.178,1.21037,0.0697611,0.936795,-0.200324,0.278242,0.493363,-0.414145,-0.764903,0.242181,0.910008,-0.336503
87,-0.420552,1.4866,0.965909,23.8043,146.911,0.602411,0.0636601,0.937668,-0.196235,0.279676,0.499502,-0.403615,-0.766546,0.229148,0.914878,-0.332398
88,-0.409892,1.48695,0.974149,23.4578,146.458,0.0388154,0.0589742,0.937454,-0.194539,0.282591,0.506886,-0.398073,-0.764594,0.220521,0.917354,-0.331411
89,-0.387468,1.48764,0.99184,22.9038,145.844,359.084,0.0508134,0.937312,-0.192086,0.2863,0.517183,-0.389185,-0.762271,0.205244,0.921042,-0.330994
90,-0.369158,1.48808,1.00643,22.4154,145.592,358.474,0.0450084,0.937722,-0.189516,0.287637,0.522388,-0.381319,-0.762697,0.193434,0.924116,-0.329535
91,-0.350354,1.48832,1.02203,22.2063,145.482,357.991,0.0406985,0.937955,-0.188981,0.287873,0.524641,-0.377943,-0.762831,0.185152,0.92526,-0.331079
92,-0.337736,1.48859,1.03267,22.246,145.508,357.872,0.0397804,0.938001,-0.189614,0.287434,0.524141,-0.378584,-0.762857,0.183631,0.924928,-0.332848
93,-0.325171,1.48874,1.04286,21.9793,145.606,358.003,0.0400083,0.938616,-0.18714,0.287015,0.52382,-0.374272,-0.765201,0.182529,0.926755,-0.32834
94,-0.30594,1.48898,1.05777,21.5948,145.675,358.162,0.0402213,0.939321,-0.183621,0.286953,0.52431,-0.368041,-0.767883,0.180942,0.929331,-0.321874
95,-0.293445,1.48895,1.06708,21.467,145.665,358.233,0.0404921,0.939466,-0.182394,0.287224,0.524903,-0.365966,-0.76847,0.180857,0.930186,-0.319444
96,-0.281177,1.48863,1.0756,21.4421,145.558,358.226,0.0405412,0.939236,-0.182169,0.288108,0.526433,-0.365561,-0.767616,0.181125,0.930341,-0.31884
97,-0.263177,1.48827,1.08733,21.4719,145.399,358.053,0.0394489,0.938853,-0.182794,0.289112,0.528444,-0.366044,-0.766001,0.179769,0.93006,-0.320424
98,-0.251721,1.48783,1.0942,21.6574,145.332,357.646,0.0367068,0.938538,-0.185313,0.288893,0.528669,-0.369056,-0.7644,0.175973,0.928623,-0.326638
99,-0.235427,1.48717,1.10418,22.0773,145.364,357.048,0.0328394,0.938161,-0.190257,0.287363,0.52669,-0.375857,-0.76245,0.170963,0.925448,-0.338109
100,-0.22521,1.48717,1.11023,22.4523,145.571,356.626,0.0300097,0.938217,-0.194426,0.284689,0.52253,-0.381914,-0.762302,0.167013,0.922596,-0.347741
101,-0.215548,1.48777,1.11585,22.7784,145.935,356.497,0.0291694,0.938641,-0.197499,0.28124,0.516446,-0.387168,-0.763796,0.165848,0.920287,-0.354353
102,-0.201542,1.48968,1.12369,23.2129,146.442,356.386,0.0284803,0.939213,-0.201443,0.276567,0.508036,-0.394148,-0.765864,0.164923,0.91722,-0.362642
103,-0.19286,1.49131,1.12879,22.9655,146.866,356.615,0.0289915,0.94057,-0.198979,0.273668,0.50327,-0.390176,-0.771026,0.163446,0.919133,-0.35844
104,-0.179881,1.49388,1.13573,22.6623,147.447,356.896,0.0295537,0.942355,-0.195979,0.269604,0.496542,-0.385298,-0.777812,0.161373,0.921438,-0.353427
