frame_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,quat_x,quat_y,quat_z,quat_w,lookat_x,lookat_y,lookat_z,up_x,up_y,up_z
37,-0.0792059,1.58538,0.0924124,16.7349,40.9581,358.301,0.131177,0.348124,-0.0646497,0.925971,0.627744,-0.287944,0.723205,0.211059,0.957226,0.19792
38,-0.0796517,1.58501,0.092865,16.7968,40.8794,358.257,0.13159,0.347518,-0.0650981,0.926109,0.626547,-0.288978,0.72383,0.212036,0.956893,0.198488
39,-0.0800929,1.58449,0.0933202,17.0008,40.8691,358.259,0.133252,0.347367,-0.065684,0.925887,0.625739,-0.292385,0.723161,0.214206,0.955859,0.201119
40,-0.0803746,1.58388,0.0935879,17.3352,40.9111,358.313,0.136097,0.347531,-0.0663001,0.925367,0.625141,-0.297962,0.721399,0.2173,0.954164,0.205797
41,-0.0802262,1.58321,0.0935289,17.7477,41.0198,358.317,0.139383,0.348259,-0.067631,0.924507,0.625084,-0.304827,0.718576,0.222133,0.951997,0.210614
42,-0.080065,1.58154,0.0931728,18.5826,41.1349,358.298,0.145995,0.348908,-0.0704405,0.923031,0.623538,-0.318671,0.713897,0.231915,0.947447,0.220362
43,-0.0799235,1.58045,0.0928815,19.2278,41.2714,358.295,0.151105,0.349762,-0.0725798,0.921719,0.622831,-0.329324,0.709667,0.239498,0.943799,0.227781
44,-0.079819,1.57967,0.0925262,19.7251,41.393,358.309,0.155077,0.350521,-0.0741271,0.920647,0.622422,-0.337508,0.706173,0.245205,0.940913,0.233575
45,-0.0796043,1.57821,0.0918868,20.4242,41.5494,358.307,0.160589,0.351486,-0.0764748,0.919141,0.621569,-0.348968,0.701337,0.253472,0.936725,0.241449
46,-0.0795711,1.57734,0.0911554,20.857,41.7058,358.307,0.163961,0.352551,-0.0780058,0.918009,0.621709,-0.356037,0.69765,0.258829,0.934064,0.246033
47,-0.0795405,1.57749,0.0905425,21.0171,41.8461,358.308,0.165153,0.353601,-0.0786848,0.917333,0.62275,-0.358646,0.695381,0.261157,0.933067,0.247354
48,-0.0796925,1.57747,0.0899863,20.7418,41.8431,358.241,0.162739,0.353796,-0.0783817,0.917715,0.623856,-0.354158,0.696689,0.259017,0.934745,0.243233
49,-0.0805097,1.57545,0.0874515,21.5624,41.9667,358.328,0.169502,0.354287,-0.0803614,0.916129,0.621902,-0.367514,0.691499,0.267348,0.929622,0.25363
50,-0.0807956,1.57437,0.0869056,22.0299,41.9035,358.381,0.173455,0.353481,-0.0812678,0.91562,0.619115,-0.375091,0.689929,0.271447,0.926618,0.260185
51,-0.0806074,1.57393,0.08691,22.1318,41.904,358.479,0.174572,0.353286,-0.080794,0.915525,0.618675,-0.376738,0.689427,0.271286,0.925994,0.262564
52,-0.080518,1.57325,0.0866895,22.3669,41.7901,358.529,0.176689,0.352182,-0.0809344,0.915532,0.616268,-0.380537,0.689497,0.27265,0.924461,0.266522
53,-0.0803562,1.57292,0.0866066,22.4629,41.6466,358.516,0.17752,0.351007,-0.0811053,0.915807,0.614115,-0.382085,0.690561,0.273175,0.923817,0.268211
54,-0.0803288,1.57263,0.0863362,22.822,41.4537,358.642,0.180917,0.349086,-0.0808788,0.915897,0.610188,-0.387869,0.690817,0.274464,0.921456,0.274935
55,-0.080366,1.57234,0.0858416,23.144,41.298,358.582,0.183425,0.347769,-0.0820741,0.915793,0.60686,-0.393044,0.690824,0.277905,0.919238,0.278872
56,-0.080108,1.57239,0.0853791,23.2014,41.2368,358.551,0.183832,0.347302,-0.0824011,0.915859,0.605862,-0.393964,0.691175,0.278626,0.918832,0.279492
57,-0.0797049,1.57244,0.0848367,23.3339,41.2208,358.545,0.184887,0.347114,-0.082818,0.91568,0.605067,-0.396089,0.690657,0.280023,0.917916,0.281099
58,-0.0790488,1.57273,0.0838162,23.5097,41.1164,358.465,0.186129,0.346319,-0.0838117,0.915639,0.603006,-0.398905,0.690839,0.282402,0.916663,0.282803
59,-0.0785908,1.57275,0.0834383,23.3104,41.1797,358.365,0.184183,0.347088,-0.0841226,0.915713,0.604678,-0.395713,0.691213,0.28192,0.918,0.278921
60,-0.0783826,1.57229,0.0828717,23.4084,41.2712,358.336,0.184814,0.347815,-0.0847882,0.915248,0.605335,-0.397283,0.689736,0.283767,0.917309,0.279321
61,-0.0780231,1.572,0.0822147,23.8892,41.4407,358.359,0.188601,0.348884,-0.0863256,0.913924,0.605145,-0.404969,0.685419,0.28939,0.913955,0.284498
62,-0.0769737,1.57114,0.0811965,24.3053,41.7934,358.366,0.191677,0.35146,-0.088106,0.912126,0.607376,-0.411599,0.679471,0.295461,0.910994,0.287736
63,-0.0766049,1.57053,0.0805943,24.6722,42.0528,358.39,0.194477,0.353281,-0.0894595,0.910697,0.608668,-0.417427,0.674743,0.30035,0.908352,0.29101
64,-0.0759753,1.56939,0.0797233,25.1681,42.415,358.425,0.198245,0.355814,-0.091311,0.908712,0.610462,-0.425276,0.66819,0.307028,0.904722,0.295316
65,-0.0758403,1.56849,0.0789063,25.6352,42.7048,358.454,0.201811,0.357785,-0.0930201,0.906978,0.611462,-0.432639,0.662524,0.313144,0.901239,0.299514
66,-0.0754201,1.56736,0.077819,26.2755,43.1374,358.499,0.20667,0.360733,-0.0954118,0.904464,0.613103,-0.442688,0.654319,0.321698,0.896368,0.305015
67,-0.0752386,1.56634,0.0769061,26.6584,43.4699,358.562,0.209616,0.362998,-0.0967123,0.902741,0.61484,-0.448671,0.648588,0.326793,0.893416,0.308245
68,-0.0755232,1.56564,0.0762586,27.1214,43.6658,358.575,0.213143,0.364212,-0.0984197,0.90124,0.61453,-0.455878,0.643839,0.332658,0.889767,0.312495
69,-0.0752847,1.56368,0.0746829,28.0306,44.2487,358.615,0.219916,0.368092,-0.102066,0.897624,0.615924,-0.469942,0.632291,0.345132,0.882439,0.319663
70,-0.0749848,1.56211,0.0733291,28.7141,44.7617,358.665,0.224974,0.371515,-0.104842,0.894635,0.617568,-0.48044,0.622726,0.354752,0.87679,0.324639
71,-0.0746994,1.56036,0.0719135,29.4764,45.4137,358.844,0.230907,0.375664,-0.107197,0.891104,0.620007,-0.492065,0.611117,0.364535,0.870381,0.330985
72,-0.0740253,1.55732,0.0692311,30.8215,46.5257,359.11,0.241167,0.382636,-0.111832,0.884829,0.623194,-0.512365,0.590857,0.382463,0.858664,0.341202
73,-0.0734028,1.55626,0.0681623,31.1263,47.1055,359.208,0.243284,0.386633,-0.11331,0.88232,0.627135,-0.516927,0.582657,0.388074,0.855948,0.34169
