Video,Log ID,Network Trace,Draco_stalls,Draco_geo_no_stalls,Draco_geo_with_stalls,Draco_color_no_stalls,Draco_color_with_stalls,Livo_nocull_stalls,Livo_nocull_geo_no_stalls,Livo_nocull_geo_with_stalls,Livo_nocull_color_no_stalls,Livo_nocull_color_with_stalls,Livo_stalls,Livo_geo_no_stalls,Livo_geo_with_stalls,Livo_color_no_stalls,Livo_color_with_stalls,Starline_stalls,Starline_geo_no_stalls,Starline_geo_with_stalls,Starline_color_no_stalls,Starline_color_with_stalls
band2,0,tracep1,36.21052631578947,97.26234323432342,62.043136842105255,98.92841584158415,63.10591578947368,3.1578947368421053,90.79869565217392,87.93136842105264,82.43295652173913,79.82981052631578,0.0,88.89113684210528,88.89113684210528,81.34722105263158,81.34722105263158,0.0,85.89997894736844,85.89997894736844,82.23138947368422,82.23138947368422
dance5,1,tracep1,61.31687242798354,95.49726063829787,36.94132716049383,99.16297872340425,38.35934156378601,0.30864197530864196,91.92138286893706,91.63767489711935,94.70114551083591,94.40885802469136,0.0,91.75081275720164,91.75081275720164,94.75899176954734,94.75899176954734,0.0,86.90463991769548,86.90463991769548,94.30740740740741,94.30740740740741
office1,0,tracep1,87.26591760299625,85.75088235294118,10.919588014981274,96.08882352941175,12.236029962546814,1.8726591760299625,91.04103053435115,89.33614232209737,86.34452290076335,84.72758426966291,0.18726591760299627,90.96532833020639,90.79498127340825,86.4159287054409,86.2541011235955,0.0,85.91007490636703,85.91007490636703,85.95102996254681,85.95102996254681
pizza1,0,tracep1,56.09756097560975,86.7575925925926,38.088699186991875,94.82537037037036,41.63065040650406,4.065040650406504,88.91050847457629,85.29626016260164,77.67576271186441,74.51821138211382,2.4390243902439024,90.20866666666667,88.00845528455285,78.21616666666667,76.30845528455285,1.6260162601626016,85.84024793388429,84.44447154471543,77.42545454545454,76.16650406504064
toddler4,1,tracep1,80.56338028169014,96.49420289855071,18.75521126760563,99.05144927536232,19.25225352112676,0.5633802816901409,91.83260623229461,91.3152394366197,87.234447592068,86.74298591549297,0.0,91.44664788732396,91.44664788732396,87.14369014084508,87.14369014084508,0.0,86.61335211267605,86.61335211267605,86.53484507042253,86.53484507042253
band2,0,wifi-25,36.21052631578947,95.34663366336633,60.82111578947368,98.26950495049505,62.6856,14.105263157894736,83.17678921568628,71.44448421052633,79.50399509803921,68.28974736842105,2.1052631578947367,87.05348387096775,85.22077894736843,80.62113978494624,78.92385263157895,78.10526315789474,79.07596153846154,17.313473684210525,82.17913461538463,17.992905263157898
dance5,1,wifi-25,61.31687242798354,93.98739361702128,36.3572633744856,98.78678191489362,38.213816872427984,8.436213991769547,87.14960674157302,79.79747942386831,92.60044943820226,84.78847736625515,1.131687242798354,90.69497398543184,89.66859053497942,94.38262226847036,93.31450617283951,63.888888888888886,78.42800569800569,28.32122427983539,91.48977207977208,33.03797325102881
office1,0,wifi-25,87.26591760299625,83.95588235294119,10.691011235955058,95.35867647058821,12.143052434456926,11.985018726591761,83.61995744680853,73.59808988764046,83.54451063829787,73.53168539325843,1.8726591760299625,86.86024809160305,85.23365168539327,84.70358778625955,83.11737827715356,78.27715355805243,78.61258620689655,17.07689138576779,84.58603448275862,18.374494382022473
pizza1,0,wifi-25,56.09756097560975,84.34185185185186,37.028130081300816,93.42814814814814,41.01723577235772,18.69918699186992,83.4554,67.84991869918699,75.72670000000001,61.56642276422765,9.75609756097561,87.35342342342342,78.83113821138211,77.03180180180179,69.51650406504064,56.91056910569106,76.53509433962265,32.97853658536585,74.06660377358492,31.91487804878049
toddler4,1,wifi-25,80.56338028169014,93.91028985507246,18.25298591549296,98.33884057971015,19.11374647887324,11.549295774647888,86.24777070063695,76.28676056338028,84.96984076433121,75.15642253521126,1.1267605633802817,89.12293447293447,88.1187323943662,86.3379772079772,85.36515492957747,61.690140845070424,82.38441176470589,31.561352112676058,85.5485294117647,32.77352112676056
