FrameID,SSIM,PSNR,RMSE
90,0.7631385783980785,12.840154003884415,58.14769184780158
100,0.5084628234849149,9.137467991536507,89.05673743694615
110,0.4702794455305073,10.51736793710498,75.97518802924039
120,0.5323182699203199,12.149682960813657,62.958740657752074
130,0.6345541066736741,13.41763050236995,54.407485541174985
140,0.7385756399157759,15.748736893892213,41.60095837616155
150,0.7641592128641966,16.159423709701702,39.679756185999835
160,0.7955104899573157,17.245838603645048,35.01452589325481
170,0.8274873889731609,17.592780074849838,33.64350051898388
180,0.8228251044707129,17.874961573169898,32.568075920871884
190,0.821587177897709,17.53350080090045,33.87389526452718
200,0.810657416523823,16.925385423200538,36.33046104854713
210,0.7646872951929659,15.709573657434412,41.78895370239145
220,0.7421601335914442,15.631417220371812,42.16667138760616
230,0.7640503890986068,16.05389339279856,40.16479094147695
240,0.7987917249600981,16.943205777935905,36.25600027998843
250,0.8120532749449453,17.085156669834273,35.66829475851617
260,0.8330203392267447,17.340739906564366,34.634042465167006
270,0.8482072799931171,18.06413132706895,31.86644481774095
280,0.8658952769352967,18.440261658004868,30.515964256595332
290,0.8902265062089049,18.997557745822903,28.619516543276344
300,0.8887261214433403,18.942744638679404,28.800693706631325
310,0.8862001756922048,18.92732863118471,28.85185552970559
320,0.8754345819513333,18.522002163306837,30.230134000375724
330,0.864505782597269,18.104382150577678,31.719115833258932
340,0.8542374216012906,17.763773693023474,32.98765894356602
350,0.8509377534348754,17.69953377116372,33.23253661151755
360,0.8532477781157567,17.644373592534244,33.444253051681
370,0.8476952818027712,17.51765514441737,33.93574776648642
380,0.8515116921466527,18.000834229739876,32.09951487892278
390,0.8550018140936527,17.910197350333704,32.43622564192014
400,0.8473778498272577,17.751871197468123,33.03289375801053
410,0.8518855981398027,17.54320346678311,33.83607719414228
420,0.8568721673656192,17.40896945475425,34.36305028966556
430,0.8616278047472603,17.880019107406625,32.54911802236143
440,0.8574908384826053,17.97181110105159,32.20695195235999
450,0.8593911999004087,18.206306950122578,31.34908236720983
460,0.8519382464436919,17.639918935825524,33.46140971411728
470,0.853110699156315,17.925519167235564,32.37905892058373
480,0.837974765666701,17.632303200321292,33.49076134157143
490,0.8543019519339895,18.19994509307984,31.372051970152146
500,0.8555655572290434,18.129293842602447,31.628273694888367
510,0.85036381381795,17.731578639392453,33.11015763984784
520,0.8436906733288648,17.91076598993437,32.43410220731256
530,0.8363217711127614,18.050153444617145,31.917767599182216
540,0.8072071062566574,17.2673936259299,34.92774109557066
550,0.8289247811301669,17.722032771991493,33.146565990684316
560,0.8463035741988865,17.489394522814585,34.0463417581808
570,0.8206420435537497,17.598493661217947,33.62137706993025
580,0.8207632583786211,18.9692763556028,28.712854000846896
590,0.846745229350928,18.44589890939176,30.49616543833957
600,0.8479843589547342,18.045408519280972,31.9352083915857
610,0.8473530634877381,18.979840878431002,28.677952198455852
620,0.8556250804370101,18.956628776861276,28.754693422770742
630,0.8470943660521835,18.043541963876265,31.942071849860096
640,0.8466865806866473,17.91930408331602,32.40223565790256
650,0.8587160684515682,18.459591161499866,30.448129801407532
660,0.8618043038675451,19.166607243762716,28.067893387564485
670,0.863498472193453,19.05148569388128,28.442377464873463
680,0.8839782822199309,20.093967581583723,25.225617220311147
690,0.8764298580832497,19.6890860825112,26.429313123062105
700,0.8715932626695896,19.787018898099646,26.132998018485626
710,0.8448455494246705,19.781387639477636,26.149946125239747
720,0.8407997240589667,19.552091598873066,26.849462779367045
730,0.8405576174013757,19.07647615024053,28.36066258169631
740,0.8483451666523133,18.73501883016452,29.49777366142049
750,0.8492407853612383,18.763674358713914,29.40061821221629
760,0.8352122921172161,18.522699037360105,30.227708716171193
770,0.8139129268967377,17.058743523124708,35.776924483390076
780,0.7340603921957727,15.320698484535459,43.70239682803915
790,0.6919455756690227,13.959400906914126,51.11756231502841
800,0.6672139906251856,12.752936764126089,58.73450895595296
810,0.6227512439541969,11.86233660073291,65.07637459579485
820,0.6402888917460953,12.169464387981568,62.81552025028309
830,0.6540769233324583,12.123758035295385,63.14693541780998
840,0.6573539467304933,12.040186729552273,63.757436048986605
850,0.6528389376644889,11.790999322392107,65.61304819589944
860,0.6698190429741069,12.384187908827345,61.28169725527676
870,0.685845728526821,12.68125407348979,59.221237295236506
880,0.6524731209429011,11.381691167005513,68.7789627671698
890,0.690770437307017,12.33877687864571,61.602925409818155
900,0.6893274749784508,12.192891529828152,62.6463256829052
910,0.6766112733955397,11.987011411886957,64.14895851837032
920,0.7024412575149661,12.631777917241486,59.55953310086705
930,0.6708424665038505,11.714946615233771,66.19007141604868
940,0.6720135643411895,12.079498963417109,63.4695226845446
950,0.7308533854646971,13.571834824711226,53.45008980085897
960,0.7452710366639267,13.810619707747247,52.00070062014544
970,0.7478391500406542,13.35695640050008,54.78887215014189
980,0.8161127439618207,14.15901566705835,49.95620016588537
990,0.881606979910032,14.939014676456075,45.66562927321562
1000,0.8966834757815781,14.429327765562682,48.42546416165475
1010,0.9084365032648121,15.459759586213814,43.00829254284551
1020,0.984020378772091,25.12490873116358,14.134965208891836
1030,0.9938069701663723,30.986249522893377,7.198262901250426
1040,0.9943580270860336,31.28115365295676,6.957969132856333
1050,0.9944793940561324,30.621457394626216,7.5070154677137175
1060,0.9973996940164739,32.8368423840321,5.816986571508417
1070,0.9995711753420361,38.15599872272629,3.1531181490113322
1080,0.999533492510459,37.72065954190604,3.3151806842444764
1090,0.99943007822087,36.54092424363743,3.7974666478030414
1100,0.9926900681241025,31.463434058394885,6.813472031236951
1110,0.8975290171969457,19.750743363950647,26.242367448454797
1120,0.9145336461672908,20.71845025991238,23.47565224182859
1130,0.9246297607060132,21.34680012709007,21.837362029149876
1140,0.9267264567878787,21.81530427283644,20.690689661184862
1150,0.9264209657760244,21.663473151340202,21.055546731901114
1160,0.9251632834795536,20.943763172807188,22.874521696794947
1170,0.9354456009979045,21.578496048264757,21.26255147526033
1180,0.944981660279829,22.038645807363963,20.16544870734662
1190,0.9504868146493138,21.916847847014793,20.450210754120732
1200,0.9599832292092677,22.357184993527603,19.439313814243224
1210,0.9542384815080034,22.139063303652307,19.933658569805772
1220,0.9531105648079837,22.59304598218764,18.918551489905102
1230,0.9587474710944003,22.257410163228425,19.663900693305752
1240,0.953407911349423,22.25322624613938,19.673374903967158
1250,0.9356797416133831,21.546512056569163,21.34099075194284
1260,0.941340636711173,21.86366517248855,20.5758090943699
1270,0.9407080507985679,21.887304439076708,20.51988669900631
1280,0.9403618187442414,22.16973803556651,19.86338583723247
1290,0.9469250598385397,22.18700979347991,19.823927044694987
1300,0.944703809925763,21.99841582770205,20.25906458944281
1310,0.9453577838115339,21.340203983674193,21.85395181847058
1320,0.9455558113997293,21.506823693622525,21.438727085524903
1330,0.9306457388704558,21.41605944717576,21.6639282216868
1340,0.9177412479732364,20.894054419473278,23.005806330793362
1350,0.9071282990094941,20.543037850869794,23.954564952693865
1360,0.9156115259568957,20.429077897383014,24.2709226152167
1370,0.9092439159605149,20.78066898606472,23.308092402180222
1380,0.9101795256110937,20.772511736130788,23.329992201765815
1390,0.9078799211913693,20.410427502057175,24.32309327915894
1400,0.9057172695721509,20.4817942322048,24.124063825611657
1410,0.9213470835185819,21.136064824424572,22.37365511348682
1420,0.9006422427724047,20.684998296644586,23.566238336988413
1430,0.9090285600607219,20.859357842034875,23.09788891368446
1440,0.9275287953828677,21.39268107062857,21.72231598528817
1450,0.929631248292805,22.05082490713049,20.137193120658885
1460,0.932332326068039,22.445386905732644,19.24291383271019
1470,0.9119388272837594,21.09441649477375,22.481193086156054
1480,0.946693199792378,22.214761983753448,19.760688913358567
1490,0.9256768765315181,21.40227000931304,21.698348489478832
1500,0.9322131684893645,21.935332315286686,20.406736873001563
1510,0.9183402550956613,21.60538990157781,21.196818705864796
1520,0.9231325683851468,21.797180359375915,20.73390777573444
1530,0.9239714669966137,21.889435702428962,20.514852336455036
1540,0.9244078752848335,21.733394503297845,20.886730123169
1550,0.9220874386122903,21.148523489466157,22.34158631323203
1560,0.9327124187029537,21.90304000390126,20.482746035482197
1570,0.9206226772719269,21.680572007838435,21.01413800464895
1580,0.9145420517572509,20.897884979977146,22.995662786769184
1590,0.9106027351954747,20.849829809239097,23.1232401677261
1600,0.9120524785636729,21.053473182670857,22.5874144823439
1610,0.9074894393591246,20.79407044306013,23.27215808077744
1620,0.9089045129731049,21.489789584066624,21.480812348690723
1630,0.9088285884043973,21.22701432525431,22.14060399126544
1640,0.9089226608618542,21.149601676929784,22.33881320370758
1650,0.9098694802861859,21.218233787418587,22.162997173159567
1660,0.9178966093800626,21.20533625793375,22.19593107536877
1670,0.9144547214080597,21.305363049645678,21.941788673580795
1680,0.9114304598582326,21.259370509916682,22.058280494529715
1690,0.9205357652418105,21.73692071891834,20.87825244626772
1700,0.917111781808607,21.45309185337947,21.57176039405684
1710,0.9231602608144686,21.89148511201159,20.51001248963369
1720,0.9169146345192892,21.479953562974373,21.505151294815043
1730,0.9380872641311887,22.300057510393323,19.56758841877585
1740,0.9294101214200996,22.10884583113963,20.003126842406147
1750,0.938884576861272,22.33894675985332,19.48017447968841
1760,0.9390646026072393,21.924041224428272,20.433281551380414
1770,0.9397547006036472,22.053526850613913,20.13092996303128
1780,0.9228518666688638,20.95721032152253,22.83913567119568
1790,0.9220100458270344,21.4989295360892,21.458220496834223
1800,0.9321990248177318,21.99002130746958,20.278653525210153
1810,0.9254051438513514,21.736603668366502,20.879014553840797
1820,0.9312907867394373,22.114742150169093,19.98955255138248
1830,0.9292385630977149,22.07213885678051,20.08783986306506
1840,0.9249568122905005,21.95608439387138,20.358039878020428
1850,0.9288782980061914,21.692559334033096,20.985156565497228
1860,0.9430412078209952,22.61651116524441,18.8675114478644
1870,0.9257578395145954,21.488691189797677,21.483528926273973
1880,0.9466473635879141,22.76276507720413,18.552478055958098
1890,0.9454452123499051,23.355799067949977,17.328071330139686
1900,0.9158042606096584,21.356543246770165,21.81288039806995
1910,0.9260482238893671,21.999200894676783,20.25723357333913
1920,0.9285278739473114,22.179125841305197,19.841928867337234
1930,0.915669221646998,21.324962444393137,21.89233364145786
1940,0.9253211479330967,22.10647358894162,20.0085907320139
1950,0.9299230799182873,22.210547416096823,19.77027952207435
1960,0.9307360418246081,22.34037926998323,19.476961999744617
1970,0.9341241942993893,22.30027634083308,19.567095443361946
1980,0.9303272584886031,21.90045229227249,20.48884919112029
1990,0.923526828411422,22.242477630235406,19.6977353843458
2000,0.9438385821408583,23.19435651653209,17.6531558188372
2010,0.9481000448447578,23.330345138542235,17.378925580764097
2020,0.9498775245038713,23.706518560617805,16.642334714874135
2030,0.9492226357881609,23.426636308900846,17.187327997611465
2040,0.949713160401927,22.485124685593384,19.155078942664787
2050,0.9764891920600247,23.24076253583287,17.559091973230558
2060,0.9791097469427877,23.185415536404165,17.671336775053746
2070,0.9357136190594769,22.86311453425647,18.339371737938485
2080,0.9515616273186396,22.945952798052403,18.16529857362404
2090,0.9551117115102516,23.40087026827327,17.238388614276182
2100,0.9442384720153013,22.490606752064114,19.14299310123549
2110,0.9353283288452002,21.617097150802614,21.168267885353927
2120,0.9218467022702844,21.02240931333959,22.668339833616507
2130,0.9238107269208696,21.02339907704725,22.665756906277228
2140,0.9329911723878984,21.858487400544604,20.588078258704833
2150,0.9276770789905194,21.75327263684764,20.838984354031343
2160,0.9259429158216924,22.1064876701468,20.008558294940112
2170,0.919401280757237,22.1730785722003,19.85574797712472
2180,0.9124945294278746,21.086616337450486,22.501390856482416
2190,0.9209416575032168,21.19096102989686,22.232695962206183
2200,0.9213104587669086,21.860458654108026,20.5834063460527
2210,0.9231941017848753,22.083954740424673,20.06053187070508
2220,0.9208602572115887,21.449762842919178,21.580029711586153
2230,0.9282903398337911,21.470126315180615,21.529496072143633
2240,0.9287510486734266,21.941036730619892,20.393339248742116
2250,0.9430877968190773,22.671854263194774,18.74767720439586
2260,0.9392536819744549,22.1944622938882,19.806925393847045
2270,0.9290643172213184,21.750125903826397,20.846535290389273
2280,0.9366936324947925,21.765676955928473,20.809245440388253
2290,0.9406226494378712,22.494393064668976,19.134650195267174
2300,0.9463317321463117,22.815417072182093,18.440357093828176
2310,0.9251287460246366,22.07671490213679,20.077259639249792
2320,0.9112086931107889,21.068471353860943,22.54844580904328
2330,0.9349293463554701,22.840889106135663,18.386358556070338
2340,0.9188247159760579,21.231851179882856,22.128278129967523
2350,0.9196742330702797,21.830823565831924,20.653754102908685
2360,0.9215119042042247,21.567727927077613,21.28892755435477
2370,0.9292600846144156,22.744022801182524,18.592553522811208
2380,0.9289561176567674,21.669221168742947,21.041617518316286
2390,0.9252454919318733,21.346958431656844,21.836964036223712
2400,0.9203080264647725,21.48537671342979,21.491728459034253
2410,0.9286967304775621,21.807589438902074,20.709075359390056
2420,0.92214533767565,21.233501982312575,22.124072925235094
2430,0.950816825202447,22.86432467970363,18.33681681700486
2440,0.9501685540879419,23.088334497482236,17.86995486381356
2450,0.9464362970733863,22.476285886753796,19.17458115487757
2460,0.951269175473842,22.3805294321002,19.387138319331328
2470,0.9450644685175346,22.920161198055432,18.21931818653137
