frame_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,quat_x,quat_y,quat_z,quat_w,lookat_x,lookat_y,lookat_z,up_x,up_y,up_z
37,-1.60985,1.15468,-1.04051,6.50216,49.1143,8.74467,0.0830652,0.409791,0.0457294,0.907238,0.751153,-0.113241,0.650342,-0.014896,0.982018,0.188199
38,-1.62476,1.14832,-1.02876,7.64266,40.6876,9.47952,0.0909373,0.34053,0.0542135,0.934254,0.646143,-0.132994,0.75154,-0.0393646,0.977583,0.20684
39,-1.62969,1.1487,-1.02826,8.44507,38.5695,9.13377,0.0955034,0.322787,0.0507109,0.940274,0.616703,-0.146861,0.773375,-0.0337097,0.976615,0.212336
40,-1.64197,1.14908,-1.02538,8.94735,33.561,8.96146,0.0969374,0.281112,0.0521187,0.953343,0.546097,-0.155527,0.823158,-0.0448736,0.975774,0.214132
41,-1.64908,1.15006,-1.0254,8.48724,31.1726,9.01683,0.0921183,0.261521,0.0556866,0.959177,0.511949,-0.147589,0.846242,-0.0586449,0.976826,0.205842
42,-1.65612,1.15021,-1.02647,8.21882,29.5778,8.97852,0.0890031,0.248398,0.0572487,0.96286,0.488536,-0.142954,0.860754,-0.0660286,0.977602,0.199836
43,-1.66223,1.15013,-1.02839,8.5323,29.0231,9.0616,0.0915307,0.243411,0.057681,0.96387,0.479793,-0.148367,0.864746,-0.0666348,0.97659,0.204528
44,-1.67128,1.1505,-1.03134,8.68407,28.2218,9.15874,0.0926005,0.236461,0.0588095,0.965429,0.467465,-0.150986,0.871022,-0.0697599,0.975933,0.206611
45,-1.67995,1.15079,-1.03557,8.72673,27.7341,9.35803,0.0931119,0.232153,0.0607928,0.966302,0.459981,-0.151722,0.87487,-0.0742559,0.975269,0.208175
46,-1.68539,1.15124,-1.03898,8.5244,28.2922,9.75427,0.0925271,0.23671,0.0641152,0.965037,0.468733,-0.148231,0.870814,-0.0799428,0.974656,0.208937
47,-1.69103,1.1513,-1.04211,8.08162,28.7595,10.1088,0.0898193,0.240753,0.0676971,0.964048,0.476355,-0.140584,0.867941,-0.087278,0.974699,0.205777
48,-1.69769,1.15071,-1.0448,7.30784,29.0784,10.9818,0.0853786,0.24348,0.0765099,0.963107,0.482058,-0.1272,0.866857,-0.105798,0.973714,0.201715
49,-1.70815,1.14875,-1.0487,6.28733,29.1387,12.1945,0.0794549,0.244114,0.0889294,0.962386,0.483996,-0.109515,0.86819,-0.132377,0.971557,0.19635
50,-1.71514,1.1461,-1.05183,5.47838,29.3525,12.9095,0.0743867,0.246266,0.0965949,0.961504,0.487942,-0.0954701,0.867639,-0.149115,0.970272,0.190622
51,-1.72229,1.14279,-1.05657,5.99813,30.4219,13.2516,0.0803819,0.254438,0.0975545,0.958792,0.503591,-0.104496,0.8576,-0.146164,0.968044,0.203782
52,-1.73611,1.13934,-1.06621,6.96716,32.4953,14.2937,0.0926276,0.269845,0.102355,0.952957,0.533263,-0.1213,0.837208,-0.145089,0.961887,0.23178
53,-1.73908,1.14053,-1.0687,6.71394,33.2089,14.4623,0.0915765,0.27594,0.103817,0.951154,0.543937,-0.116912,0.830942,-0.146951,0.961672,0.231501
54,-1.74477,1.14225,-1.07434,5.82571,34.8005,14.7539,0.086437,0.28996,0.107292,0.947069,0.567773,-0.101503,0.816904,-0.1531,0.962034,0.225945
55,-1.75315,1.14448,-1.08312,4.76418,36.9793,15.2775,0.0811872,0.308807,0.112892,0.940905,0.599448,-0.0830548,0.796093,-0.1623,0.961328,0.222503
56,-1.75821,1.14512,-1.08983,4.31023,38.3738,15.4891,0.0794486,0.320637,0.114935,0.93684,0.619034,-0.0751567,0.78176,-0.164403,0.960956,0.222566
57,-1.76256,1.14559,-1.09679,3.74011,39.8491,15.6515,0.0767701,0.333251,0.116925,0.932405,0.639403,-0.0652308,0.7661,-0.166875,0.96087,0.221092
58,-1.76844,1.14546,-1.10695,2.88482,41.8626,15.4117,0.071186,0.350758,0.116288,0.926487,0.666501,-0.0503283,0.743803,-0.16554,0.96282,0.213483
59,-1.77517,1.145,-1.11995,1.98924,44.4324,15.0989,0.0655989,0.372657,0.115104,0.918463,0.699645,-0.0347118,0.713647,-0.162546,0.964896,0.206289
60,-1.77808,1.14481,-1.12542,1.74856,45.4545,15.1292,0.0648052,0.381085,0.115564,0.914997,0.712362,-0.0305134,0.701149,-0.162089,0.96489,0.206673
61,-1.78094,1.14438,-1.12993,1.58365,45.8854,15.3456,0.0646535,0.384585,0.117604,0.913282,0.717675,-0.0276364,0.695829,-0.165082,0.963979,0.208551
62,-1.78477,1.14322,-1.13654,0.989756,46.3324,15.7939,0.0619133,0.388563,0.122943,0.911082,0.723249,-0.0172737,0.690371,-0.175909,0.962103,0.208359
63,-1.7876,1.14193,-1.1426,0.336672,46.8031,16.1694,0.0585263,0.392844,0.127913,0.908783,0.728993,-0.005876,0.684497,-0.186506,0.960426,0.206875
64,-1.78841,1.14169,-1.14685,0.0424659,47.1208,16.1425,0.0564581,0.395709,0.128553,0.90758,0.73279,-0.0007412,0.680454,-0.188663,0.960573,0.20422
65,-1.78881,1.14186,-1.15098,359.754,47.5497,16.1826,0.0547984,0.399406,0.129662,0.905903,0.737857,0.0042918,0.674944,-0.191149,0.96037,0.20286
66,-1.78877,1.14308,-1.15469,359.454,47.929,16.0671,0.0524557,0.402788,0.129618,0.904549,0.742282,0.0095199,0.67002,-0.192235,0.960895,0.199315
67,-1.78807,1.14561,-1.1601,358.771,48.4742,15.8408,0.046881,0.407921,0.130003,0.902497,0.748485,0.0214423,0.662804,-0.196408,0.961803,0.190682
68,-1.78698,1.14826,-1.16535,358.361,49.1199,15.5423,0.0433099,0.413544,0.12886,0.900278,0.755771,0.0285967,0.654211,-0.196199,0.963039,0.18456
69,-1.7862,1.14959,-1.16882,358.028,49.5898,15.1634,0.0398365,0.417705,0.126913,0.898793,0.760971,0.0344147,0.647872,-0.194857,0.964612,0.177634
70,-1.78524,1.15063,-1.17204,357.712,50.1411,14.5916,0.0358603,0.422517,0.123397,0.8972,0.767013,0.0399268,0.640388,-0.19112,0.966974,0.168622
71,-1.78373,1.15157,-1.17636,357.102,50.9716,13.7581,0.0288563,0.429788,0.118888,0.894604,0.775841,0.0505634,0.6289,-0.187911,0.970066,0.153823
72,-1.78278,1.15096,-1.17869,356.695,51.5165,13.1982,0.0241212,0.434501,0.115909,0.892856,0.781486,0.0576514,0.621254,-0.186018,0.971967,0.143799
73,-1.78138,1.15084,-1.18159,356.603,52.1943,12.841,0.022716,0.43992,0.113337,0.890567,0.788706,0.0592586,0.611908,-0.181882,0.973277,0.140179
74,-1.77986,1.15188,-1.18254,356.381,52.4313,12.7883,0.0210201,0.441939,0.113725,0.889559,0.791043,0.0631214,0.608496,-0.18375,0.97325,0.137916
75,-1.77809,1.15228,-1.18383,355.927,52.8377,12.6576,0.0173866,0.445447,0.114373,0.887803,0.794915,0.071022,0.60255,-0.187591,0.973233,0.132766
76,-1.77735,1.1519,-1.18438,356.025,52.9916,12.5244,0.0177825,0.446589,0.112943,0.887404,0.796627,0.0693174,0.600484,-0.184569,0.973855,0.132438
77,-1.77674,1.15171,-1.18478,356.088,53.2721,12.1544,0.0170961,0.448772,0.109794,0.886711,0.799617,0.0682265,0.596622,-0.179367,0.975306,0.128864
78,-1.77602,1.15165,-1.1852,355.977,53.6721,11.662,0.0146784,0.452008,0.10636,0.885528,0.803655,0.0701549,0.590946,-0.1751,0.976944,0.122148
79,-1.77567,1.15126,-1.18582,355.972,54.2188,11.2887,0.0136571,0.456279,0.103432,0.8837,0.809252,0.0702504,0.583246,-0.170343,0.97823,0.118525
80,-1.77714,1.15016,-1.18644,356.27,54.4038,11.496,0.0169561,0.457487,0.103833,0.88297,0.811417,0.0650609,0.580836,-0.167848,0.977862,0.124948
81,-1.77906,1.14948,-1.18765,356.581,54.5507,11.714,0.02037,0.458377,0.104257,0.882386,0.813179,0.0596298,0.57895,-0.165316,0.977431,0.131527
82,-1.78085,1.14966,-1.18851,356.423,54.3768,11.6533,0.018748,0.457154,0.104443,0.883035,0.811282,0.0623829,0.581318,-0.167313,0.97748,0.128604
83,-1.78381,1.15056,-1.18964,355.904,54.1907,11.5287,0.0140605,0.456076,0.105554,0.883547,0.808897,0.071435,0.583594,-0.173698,0.977321,0.121127
84,-1.78696,1.15151,-1.19059,355.318,53.8934,11.6437,0.0097065,0.454141,0.10876,0.884213,0.805226,0.0816197,0.587324,-0.183518,0.976154,0.11595
85,-1.78873,1.15183,-1.19096,355.035,53.5023,11.9948,0.0085198,0.451274,0.112603,0.885212,0.800865,0.0865455,0.592558,-0.191665,0.974496,0.116713
86,-1.79086,1.15168,-1.19133,354.79,53.0144,12.5005,0.0081118,0.447627,0.117489,0.886432,0.795487,0.090801,0.599128,-0.201029,0.972261,0.119563
87,-1.79216,1.15062,-1.19121,355.047,52.6186,12.8692,0.0111359,0.444354,0.119396,0.887789,0.791645,0.0863358,0.604851,-0.202101,0.971241,0.125881
88,-1.79326,1.14834,-1.19042,356.054,52.0286,13.49,0.0207548,0.438936,0.120485,0.890162,0.786449,0.06882,0.613809,-0.196282,0.970105,0.142721
89,-1.79429,1.14568,-1.18949,357.679,51.5161,13.7253,0.0338096,0.433549,0.116332,0.89295,0.782141,0.0404904,0.621784,-0.17844,0.970648,0.161252
90,-1.79507,1.14237,-1.18805,359.499,50.8573,14.0335,0.0485306,0.426649,0.112189,0.896119,0.775546,0.0087521,0.63123,-0.159658,0.970117,0.182709
91,-1.79539,1.14056,-1.18655,0.631774,50.5687,13.9306,0.0567424,0.423348,0.107312,0.897798,0.77234,-0.0110263,0.635114,-0.144645,0.970529,0.192747
92,-1.79546,1.13994,-1.1852,1.03771,50.3409,13.8583,0.0594445,0.4212,0.105359,0.898864,0.769729,-0.0181106,0.638114,-0.139331,0.970732,0.195619
93,-1.79546,1.13882,-1.18307,1.40091,49.83,14.1597,0.0629219,0.416664,0.106663,0.900586,0.763906,-0.0244481,0.644865,-0.139684,0.969328,0.202218
94,-1.79597,1.13779,-1.18175,1.67432,49.4991,14.3808,0.0655603,0.413655,0.107589,0.901674,0.760071,-0.0292182,0.649183,-0.139783,0.968253,0.207238
95,-1.79643,1.13682,-1.18008,2.21876,49.0479,14.5428,0.0699987,0.409429,0.107158,0.903319,0.754691,-0.0387149,0.654937,-0.136278,0.967234,0.21421
96,-1.79672,1.13663,-1.17879,2.64753,48.7083,14.6633,0.0734843,0.406209,0.106777,0.90454,0.750558,-0.0461917,0.659189,-0.133468,0.966398,0.219686
97,-1.79688,1.13697,-1.17707,2.93008,48.3416,14.4798,0.0747241,0.403121,0.104552,0.906079,0.746144,-0.0511173,0.663819,-0.12922,0.96697,0.219706
98,-1.79654,1.13695,-1.17597,2.71726,48.1969,14.3248,0.0723692,0.402307,0.104178,0.906675,0.744601,-0.0474073,0.665824,-0.130682,0.967819,0.215054
99,-1.79635,1.13644,-1.1752,2.9168,48.2459,14.1767,0.0734677,0.402575,0.102265,0.906685,0.745043,-0.0508857,0.665073,-0.126291,0.968289,0.215562
100,-1.79587,1.13562,-1.17389,3.15363,48.3816,14.0368,0.0749634,0.403485,0.100224,0.906386,0.746453,-0.0550134,0.66316,-0.121191,0.968671,0.21677
101,-1.79514,1.13499,-1.17325,3.3304,48.8112,14.0728,0.0768579,0.406667,0.0995898,0.904874,0.751273,-0.0580937,0.65743,-0.117721,0.96835,0.220093
102,-1.79389,1.13397,-1.1728,3.69701,49.3946,14.1577,0.0805467,0.410812,0.0985293,0.902794,0.75763,-0.0644802,0.649491,-0.111724,0.967608,0.226388
103,-1.79251,1.1332,-1.17247,4.07696,50.0169,14.4047,0.0849501,0.415109,0.098629,0.900411,0.764296,-0.0710964,0.640935,-0.107086,0.966112,0.234864
104,-1.79111,1.13297,-1.17231,4.22494,50.7428,14.2198,0.0860486,0.420778,0.0960862,0.897947,0.772209,-0.0736723,0.631083,-0.100146,0.966726,0.235396
105,-1.7905,1.13249,-1.17221,4.36832,51.3056,13.9839,0.0867601,0.425203,0.0932752,0.896089,0.778224,-0.0761677,0.62335,-0.0933844,0.967545,0.234811
106,-1.79002,1.13189,-1.17214,4.60353,51.8498,13.7674,0.0882177,0.429362,0.0902738,0.894269,0.783858,-0.0802603,0.615731,-0.0857035,0.968136,0.235301
107,-1.78945,1.1313,-1.17211,4.7903,52.3497,13.6406,0.0895791,0.433154,0.0881809,0.892512,0.788988,-0.0835091,0.608707,-0.079802,0.9684,0.236292
108,-1.78896,1.13103,-1.17208,4.93339,52.758,13.7087,0.0912588,0.436121,0.0878341,0.89093,0.793138,-0.0859976,0.60294,-0.0769083,0.967914,0.239223
109,-1.78764,1.13044,-1.17238,5.1582,53.6981,13.7109,0.0937162,0.443166,0.0862115,0.887349,0.802644,-0.0899061,0.589643,-0.0699359,0.96757,0.24273
110,-1.7873,1.13021,-1.17268,5.28944,53.9477,13.7093,0.0949069,0.444954,0.0854738,0.886399,0.805037,-0.0921871,0.586018,-0.0670694,0.967374,0.244315
111,-1.7863,1.12965,-1.17323,5.54745,54.4067,13.604,0.0968171,0.448303,0.0832485,0.884715,0.809361,-0.0966701,0.579302,-0.0604955,0.967392,0.245952
112,-1.78482,1.12859,-1.17404,5.98893,55.0322,13.4833,0.100171,0.452738,0.0800037,0.882379,0.815002,-0.104336,0.569988,-0.0504848,0.96713,0.249219
113,-1.78363,1.12687,-1.17447,6.75137,55.3238,13.3888,0.105823,0.454208,0.0759205,0.881324,0.816678,-0.117561,0.564993,-0.0376899,0.966075,0.255496
114,-1.7816,1.12385,-1.17527,8.26089,55.8558,13.215,0.116969,0.456718,0.0678914,0.879271,0.81904,-0.143681,0.555454,-0.0125461,0.963418,0.267709
115,-1.77984,1.12309,-1.17541,8.9481,56.1563,13.1119,0.121951,0.458315,0.0639528,0.878058,0.820452,-0.15554,0.550151,-0.0005243,0.962076,0.272782
116,-1.77714,1.12191,-1.17592,9.36065,56.5563,13.0053,0.124869,0.460997,0.0609938,0.876453,0.823317,-0.162648,0.543779,0.0082124,0.961375,0.27512
117,-1.77583,1.12174,-1.17645,9.40851,56.7671,13.0218,0.12541,0.462533,0.0606899,0.875587,0.825198,-0.163473,0.540672,0.0097339,0.961178,0.275757
118,-1.77385,1.12141,-1.17736,9.532,57.0704,13.017,0.126483,0.464704,0.0598029,0.874343,0.82775,-0.165598,0.536103,0.0129784,0.960851,0.276761
119,-1.77283,1.12129,-1.17794,9.67189,57.2461,12.9176,0.127226,0.465986,0.058261,0.873657,0.829048,-0.168006,0.533341,0.0167707,0.960838,0.276601
120,-1.77143,1.12144,-1.17885,9.7201,57.4476,12.7791,0.127127,0.467617,0.056779,0.872897,0.830799,-0.168835,0.530346,0.0197687,0.96123,0.275038
121,-1.77082,1.12133,-1.17948,9.70645,57.4903,12.6696,0.126597,0.46808,0.0559552,0.872779,0.831228,-0.1686,0.529749,0.0208423,0.961684,0.273366
122,-1.76992,1.12028,-1.1804,10.2864,57.4979,12.6408,0.130854,0.467472,0.053275,0.872645,0.829817,-0.178568,0.528695,0.0293604,0.960078,0.278187
123,-1.76939,1.11853,-1.18029,10.7517,57.0288,12.8157,0.134853,0.463123,0.0531898,0.874358,0.824217,-0.186553,0.534663,0.0318932,0.957971,0.285087
124,-1.76981,1.11814,-1.17965,10.8243,56.7849,12.8735,0.13552,0.461102,0.053615,0.875297,0.821734,-0.187797,0.538038,0.0311194,0.957519,0.286685
125,-1.77077,1.1182,-1.17888,10.9644,56.5534,12.9566,0.136804,0.459059,0.0539396,0.87615,0.819168,-0.190199,0.541098,0.0310838,0.95675,0.289245
126,-1.77183,1.11836,-1.1778,10.9654,56.0975,13.0878,0.137117,0.455412,0.0554846,0.877907,0.814835,-0.190215,0.547597,0.0274691,0.956241,0.291289
127,-1.77262,1.11904,-1.17685,10.6889,55.7128,13.2072,0.135304,0.452669,0.0579987,0.879443,0.811888,-0.185476,0.553567,0.0204829,0.956658,0.290493
128,-1.77352,1.11941,-1.17585,10.3175,55.3585,13.2366,0.132416,0.450379,0.0601618,0.880911,0.809422,-0.179102,0.559249,0.0132805,0.957693,0.287485
129,-1.77444,1.11954,-1.17469,10.1545,54.985,13.3791,0.131535,0.447546,0.0623537,0.882334,0.806173,-0.176303,0.564803,0.0077019,0.957621,0.287927
130,-1.77585,1.12002,-1.17278,9.8583,54.2024,13.7359,0.130216,0.441475,0.0671954,0.885228,0.799112,-0.171212,0.576287,-0.0039919,0.957057,0.289872
131,-1.77685,1.1202,-1.17121,9.80457,53.5426,13.8885,0.129997,0.436266,0.0693395,0.887674,0.792552,-0.170288,0.585545,-0.0096755,0.956586,0.29129
132,-1.77835,1.12099,-1.16886,9.48109,52.5605,14.1408,0.127851,0.428771,0.0736753,0.891281,0.78315,-0.164722,0.599619,-0.0216934,0.956452,0.291081
